screen_code,screen_code_dec,petscii_code,petscii_code_dec,char,unicode,name,keyboard,control_code,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
$EF,239,,,,,,,,$FF,$FF,$FF,$FF,$FF,$FF,$00,$00
$F0,240,,,,,,,,$FF,$FF,$FF,$E0,$E0,$E7,$E7,$E7
$F1,241,,,,,,,,$E7,$E7,$E7,$00,$00,$FF,$FF,$FF
$F2,242,,,,,,,,$FF,$FF,$FF,$00,$00,$E7,$E7,$E7
$F3,243,,,,,,,,$E7,$E7,$E7,$07,$07,$E7,$E7,$E7
$F4,244,,,,,,,,$3F,$3F,$3F,$3F,$3F,$3F,$3F,$3F
$F5,245,,,,,,,,$1F,$1F,$1F,$1F,$1F,$1F,$1F,$1F
$F6,246,,,,,,,,$F8,$F8,$F8,$F8,$F8,$F8,$F8,$F8
$F7,247,,,,,,,,$00,$00,$FF,$FF,$FF,$FF,$FF,$FF
$F8,248,,,,,,,,$00,$00,$00,$FF,$FF,$FF,$FF,$FF
$F9,249,,,,,,,,$FF,$FF,$FF,$FF,$FF,$00,$00,$00
$FA,250,,,,,,,,$FC,$FC,$FC,$FC,$FC,$FC,$00,$00
$FB,251,,,,,,,,$FF,$FF,$FF,$FF,$0F,$0F,$0F,$0F
$FC,252,,,,,,,,$F0,$F0,$F0,$F0,$FF,$FF,$FF,$FF
$FD,253,,,,,,,,$E7,$E7,$E7,$07,$07,$FF,$FF,$FF
$FE,254,,,,,,,,$0F,$0F,$0F,$0F,$FF,$FF,$FF,$FF
$FF,255,,,,,,,,$0F,$0F,$0F,$0F,$F0,$F0,$F0,$F0
